created_at,content,interactions,source,sentiment,probas
"Apr 3, 2024 @ 16:17:46.000","La derecha está desesperada: @ClaraBrugadaM calificó como “muy grave” la alianza entre @STaboadaMx y el Sindicato Libertad, señalado de extorsionar a empresarios de la construcción. https://t.co/KzcCCxg7X9 https://t.co/pUGMRtF3JA",74,https://twitter.com/ReporterosMX_/status/1775648916924420246,NEG,"{'NEG': 0.9527699947357178, 'NEU': 0.03922388702630997, 'POS': 0.008006158284842968}"
"Apr 3, 2024 @ 15:47:13.000","#TuElección2024. Taboada reportó un gasto de 19.5 mdp en su primer mes de campaña; el 78% del monto lo destinó a propaganda en vía pública.
#Latinus #InformaciónParaTi
",68,https://www.facebook.com/Latinus/posts/pfbid02RzmbVR7MCoC6xaHMFyiwVb9Mzfio2UxAiXrkLHmq1cwFRmdLwwJjvGAskBTh25aTl,NEU,"{'NEG': 0.4153634309768677, 'NEU': 0.5175080895423889, 'POS': 0.06712856143712997}"
"Apr 3, 2024 @ 16:18:09.000",@STaboadaMx @GamoMonte En Xochimilco y en todas las alcaldías en nuestra CDMX ya estamos hartos de ellos. Apoyemos a todos nuestros candidatos. #ElCambioViene #TaboadaJefeDeGobierno  #ElMomentoTaboada https://t.co/nGQJ0JuHs4,64,https://twitter.com/GARCIPAVON/status/1775649013515092148,NEG,"{'NEG': 0.48284822702407837, 'NEU': 0.45442289113998413, 'POS': 0.0627288669347763}"
"Apr 3, 2024 @ 12:55:16.000",Esta es la gente que quiere regresar al poder. Esto es el proyecto de restauración de privilegios que representa el PRIAN. Urge saber qué piensa @STaboadaMx de este tipo de comportamientos. En la Ciudad de México no queremos que un club de mirreyes acabe con una historia de…,63,https://twitter.com/Sebas_RM/status/1775597957859152080,NEG,"{'NEG': 0.9731492400169373, 'NEU': 0.021934224292635918, 'POS': 0.004916601348668337}"
"Apr 3, 2024 @ 18:01:13.000","@BicireporteraDF @STaboadaMx En los hechos: 

¿Qué alcaldía ha construido más espacio. Públicos, ciclovías, banquetas y jardineras? 

¿Iztapalapa
O Benito Juárez?",51,https://twitter.com/diaz_manuel/status/1775674949656510963,NEU,"{'NEG': 0.3144935965538025, 'NEU': 0.6359835863113403, 'POS': 0.049522846937179565}"
"Apr 3, 2024 @ 08:02:42.000",XÓCHITL PRESIDENTA Y TABOADA JEFE DE GOBIERNO,43,https://www.instagram.com/p/C5TNIDhhnU9/,NEU,"{'NEG': 0.18798699975013733, 'NEU': 0.5421256422996521, 'POS': 0.26988738775253296}"
"Apr 3, 2024 @ 10:57:12.000","@la_grenitas @STaboadaMx @ClaraBrugadaM En la colonia Del Valle: cartel que pegan de Clara Brugada, cartel que rompen los vecinos. Nadie la quiere en la Benito Juárez.",36,https://twitter.com/YayaMarchena/status/1775568244557881599,NEG,"{'NEG': 0.9767947793006897, 'NEU': 0.018978841602802277, 'POS': 0.004226398188620806}"
"Apr 3, 2024 @ 22:30:56.000","Durante nuestro recorrido por el Distrito 2, encontramos otra mega fuga de agua. El gobierno de Morena provocó y nos abandonó en esta grave crisis. 

Necesitamos un cambio de rumbo con @STaboadaMx para terminar de una vez por todas con este terrible situación. https://t.co/1Y1N8SeEHs",34,https://twitter.com/GarridoDiego_/status/1775742829135847640,NEG,"{'NEG': 0.9715956449508667, 'NEU': 0.023647163063287735, 'POS': 0.004757183603942394}"
"Apr 3, 2024 @ 21:17:06.000","Tengan para que aprendan‼️
⁦#ClaraCorrupta 
En Iztapalapa 
#NoHuboTransformacion @ClaraBrugadaM⁩ por tu pésima gestión utópica, recapacitaron y ahora están con #TaboadaJefeDeGobierno 
#ElCambioViene https://t.co/9LYA2e7qxy",34,https://twitter.com/gbonillah/status/1775724244951064977,NEG,"{'NEG': 0.9306700229644775, 'NEU': 0.062499597668647766, 'POS': 0.006830395665019751}"
"Apr 3, 2024 @ 15:23:43.000",Qué triste espectáculo @ClaraBrugadaM @STaboadaMx @MiguelTorrucoG. https://t.co/br4DBfXjlV,33,https://twitter.com/maria2veces/status/1775635315094368347,NEG,"{'NEG': 0.9414809942245483, 'NEU': 0.04812930151820183, 'POS': 0.010389627888798714}"
"Apr 3, 2024 @ 20:47:09.000","En la CDMX #NoHuboTransformacion y
#ElCambioViene gracias a qué todos en morena son unos inútiles, abandonan el barco y se van con Taboada
🏃 https://t.co/a4l7fcLh2X",32,https://twitter.com/AntiANLO2000/status/1775716708528894331,NEG,"{'NEG': 0.9336572885513306, 'NEU': 0.060430679470300674, 'POS': 0.005912087857723236}"
"Apr 3, 2024 @ 13:50:14.000","@BicireporteraDF Vota por Taboada una vez que tome el cargo, NOSOSTROS MISMOS LE EXIGIREMOS QUE SE PONGA A TRABAJAR Y RECONSTRUIR EL DESORDEN QUE PRIVA DESDE HACE 26 AÑOS EN ESTA NOBLE CIUDAD

NO VOTES POR BRUGADA SERÍA UN ERROR PARA BOTÓN DE MUESTRA DATE UNA VUELTECITA A IZTAPALAPA",32,https://twitter.com/ja48400/status/1775611788874129512,NEG,"{'NEG': 0.8928920030593872, 'NEU': 0.08934107422828674, 'POS': 0.017766915261745453}"
"Apr 3, 2024 @ 15:27:39.000",Qué demonios sucede con el agua que huele a gasolina o thinner!! @SacmexCDMX @En_laDelValle #AguaGasolina #AguaSucia qué miedo! @STaboadaMx @martibatres @BJAlcaldia @SSalud_mx,30,https://twitter.com/marcelamerino/status/1775636303884820595,NEG,"{'NEG': 0.9430985450744629, 'NEU': 0.05174484848976135, 'POS': 0.00515652634203434}"
"Apr 3, 2024 @ 10:45:00.000","#PorSiNoLoViste Denuncian a #SandraCuevas por delito electoral contra #SantiagoTaboada https://t.co/cQUhu5irnZ…Síguenos en
@FZExpress",30,https://twitter.com/PacoZeaCom/status/1775565172926751014,NEU,"{'NEG': 0.4341528117656708, 'NEU': 0.48677268624305725, 'POS': 0.07907451689243317}"
"Apr 3, 2024 @ 12:34:16.000","Madre santísima la cantidad de basura electoral que colocaron sobre Av. Parque Lira Tabe y Taboada. 
Son unos puercos @PAN_CDMX",29,https://twitter.com/natszendro/status/1775592670133444946,NEG,"{'NEG': 0.977343738079071, 'NEU': 0.01645769365131855, 'POS': 0.006198473274707794}"
"Apr 3, 2024 @ 20:56:58.000","Se sigue sumando liderazgos de morena al equipo de Santiago Taboada, ya se siente el cambio.
#NoHuboTransformacion #ElCambioViene https://t.co/adA3HyWux5",25,https://twitter.com/AntiANLO2000/status/1775719181473677736,NEU,"{'NEG': 0.3819974362850189, 'NEU': 0.4562545716762543, 'POS': 0.1617480367422104}"
"Apr 3, 2024 @ 05:00:26.000",Militantes del PAN Coyoacán dejan equipo de Taboada para sumarse a proyecto de Clara Brugada 👇 https://tinyurl.com/2c8d7fpo,22,https://www.facebook.com/ElUniversalMetropoli/posts/pfbid0c2yBFprww96M2hCRNw73JbSXDiPEKxPhSy8YezKZnAgiCQVgEMPN64EG4V4yUiJcl,NEG,"{'NEG': 0.5979470610618591, 'NEU': 0.33516156673431396, 'POS': 0.06689146161079407}"
"Apr 3, 2024 @ 03:19:26.000","@polistermx @STaboadaMx @Chertorivski Ajá  ,la cuatrera""  clara burrada"" es igual de corrupta que el #NarcoPresidenteAMLO30  #NarcoCandidataClaudia30 https://t.co/gpwZEEZcup",20,https://twitter.com/CanalesMatia/status/1775453041505816908,NEG,"{'NEG': 0.891508936882019, 'NEU': 0.09712028503417969, 'POS': 0.011370787397027016}"
"Apr 3, 2024 @ 20:51:28.000","Los que estuvieron en Morena están abandonando el barco, morena hace agua, prefieren ir con quién sí dió resultados y va a ganar, todos con Taboada
#NoHuboTransformacion #ElCambioViene https://t.co/SD6ACkdksO",19,https://twitter.com/AntiANLO2000/status/1775717798175560101,NEG,"{'NEG': 0.9011499285697937, 'NEU': 0.0868421271443367, 'POS': 0.01200805138796568}"
"Apr 4, 2024 @ 00:06:32.000","@STaboadaMx El PRIAN 96 años tuvieron de tiempo y de oportunidad , quieren 6 años más para que?",17,https://twitter.com/rikiricardof/status/1775766887336472844,NEG,"{'NEG': 0.9360800385475159, 'NEU': 0.05050419270992279, 'POS': 0.013415832072496414}"
"Apr 3, 2024 @ 20:49:29.000","Cuando la vergüenza es más grande que los logros es hora de abandonar, por eso morena abandona el partido y se suma a Taboada 👍🏻💙
#NoHuboTransformacion #ElCambioViene https://t.co/jzebx13B0H",16,https://twitter.com/AntiANLO2000/status/1775717295244853253,NEG,"{'NEG': 0.8610777258872986, 'NEU': 0.12646254897117615, 'POS': 0.012459741905331612}"
"Apr 3, 2024 @ 16:59:59.000","@El_Universal_Mx ""Triunfo contundente"" 🤣🤣🤣 pobrecita la Clarita Matusalén brujada @ClaraBrugadaM  ¡hasta cree! la Sra. ya no arranca, llegó a su tope, ni en su casa le creen, @STaboadaMx ya la rebasó y ese es su miedo. 😂 #YaSeVan #ClaraCorrupta #NarcoCandidataBrugada #NarcoCandidataMargarita https://t.co/4eM7JbwpuG",15,https://twitter.com/GARCIPAVON/status/1775659540219822144,NEG,"{'NEG': 0.9083924293518066, 'NEU': 0.08308398723602295, 'POS': 0.008523666299879551}"
"Apr 3, 2024 @ 19:37:47.000","@DanyAlvarezca @JPsagalvez @_JRLB_ @ElBaronNews_ @AtypicalTeve @JTrianaT @ferbelaunzaran @luisag_urena @AAtaydeR @PAN_CDMX @SocCivilMx @TlalpanVecinos @STaboadaMx Bien por @JPsagalvez 👏 se nota cuando hay educación, él muy consciente de que puede perjudicar a @XochitlGalvez pero con esto muestra que es un gran joven que cometió un error y lo está remediando. Ya quisieran tener un mínimo de su honradez las lacras #ClanLopezBeltranyAmigos https://t.co/VewxtcxPO9",14,https://twitter.com/guerisilla8/status/1775699252372812055,NEG,"{'NEG': 0.5704676508903503, 'NEU': 0.2524685561656952, 'POS': 0.17706377804279327}"
"Apr 3, 2024 @ 18:34:57.000","Lamentablemente el otro rostro de la alcaldía Iztapalapa es la cara oculta de las UTOPIAS, una alcaldía abandonada 

Pero el día dos de Junio ya se van @AccionNacional @STaboadaMx @KarenQuirogaAn @acostanaranjo @esanchezXXXI https://t.co/BXFRPve21h",14,https://twitter.com/tor13612993/status/1775683439779610740,NEG,"{'NEG': 0.9544600248336792, 'NEU': 0.03852040693163872, 'POS': 0.007019588258117437}"
"Apr 3, 2024 @ 10:47:52.000","Batres afirmó que la denuncia presentada por Federico Döring, coordinador de campaña de Santiago Taboada, candidato de la coalición “Va X la CDMX” a la Jefatura de Gobierno, carece de legitimación. ",14,https://www.facebook.com/ExcelsiorMex/posts/pfbid0w9tXgx5cSYuF63LNRUsTwEgmYeJ2629BaLLd9EyvJrq8ZfkVAz1W1VvB1aBxPDezl,NEG,"{'NEG': 0.8851782083511353, 'NEU': 0.10239406675100327, 'POS': 0.012427742592990398}"
"Apr 3, 2024 @ 18:06:43.000","@BicireporteraDF @STaboadaMx Nunca te he visto recorrer Iztapalapa, supongo que no te ha tocado ver el paraíso ciclista utópico.

Una razón más para votar por la Rata Brugada.",13,https://twitter.com/DonCexar/status/1775676334376653030,NEG,"{'NEG': 0.9377419352531433, 'NEU': 0.05357091873884201, 'POS': 0.00868716835975647}"
"Apr 3, 2024 @ 13:32:43.000","@BicireporteraDF Clara sería la misma cantaleta y dudo de resultados, iztapalapa solo mejoró visualmente, pero en inseguridad siguió igual o peor. Chert... Pues es como el comodin quita votos. Y Taboada sepa...pero la BJ al menos puedes caminar con mayor seguridad que otras alcaldías",12,https://twitter.com/DarthValkyria/status/1775607379213549674,NEG,"{'NEG': 0.927670419216156, 'NEU': 0.06183485686779022, 'POS': 0.010494749061763287}"
"Apr 3, 2024 @ 09:54:37.000","@STaboadaMx @GamoMonte En Xochimilco y en toda la CDMX !
estamos cansados del gobierno fallido @STaboadaMx , queremos resultados , lo bueno que #sElCambioViene",12,https://twitter.com/athena102503/status/1775552492841087305,NEG,"{'NEG': 0.6907496452331543, 'NEU': 0.2271660566329956, 'POS': 0.08208432793617249}"
"Apr 3, 2024 @ 13:32:43.000","@BicireporteraDF Clara sería la misma cantaleta y dudo de resultados, iztapalapa solo mejoró visualmente, pero en inseguridad siguió igual o peor. Chert... Pues es como el comodin quita votos. Y Taboada sepa...pero la BJ al menos puedes caminar con mayor seguridad que otras alcaldías",11,https://twitter.com/DarthValkyria/status/1775607379213549674,NEG,"{'NEG': 0.927670419216156, 'NEU': 0.06183485686779022, 'POS': 0.010494749061763287}"
"Apr 3, 2024 @ 07:38:42.000","@rod_mud @Jaime_Mata_S @STaboadaMx @FiscaliaCDMX @UlisesLaraCDMX ¿El cartel inmobiliario de los Chávez Contreras?

Háblanos de Guadalupe y Rodrigo, de los auto préstamos del INVI.

Ese sí es un cartel inmobiliario y está en Morena. 

Anda háblanos de ellos.",11,https://twitter.com/neoliberalover/status/1775518289956859913,NEG,"{'NEG': 0.7189106941223145, 'NEU': 0.25154247879981995, 'POS': 0.029546862468123436}"
"Apr 3, 2024 @ 07:57:14.000","Diario de campaña día 3 (ayer)

Recorrí Nativitas casa por casa, la principal preocupación de los vecinos es la seguridad, nadie confía en @BlindarBJ el gobierno de @STaboadaMx fue una estafa. La falta de servicios es lastimosa. https://t.co/vKSF0LXvMR",10,https://twitter.com/Pablo_Hdez/status/1775522954647929234,NEG,"{'NEG': 0.9744840264320374, 'NEU': 0.022497666999697685, 'POS': 0.003018306801095605}"
"Apr 3, 2024 @ 22:42:44.000","Las propuestas del PAN que buscan alcoholizarte . 

Santiago Taboada promete ampliar horarios de la vida nocturna en CDMX. 
 Platicó con los estudiantes sobre el modelo que busca para la Ciudad y dejó claro que lo que se requiere es darle un “empujón a los jóvenes” https://t.co/ro0SCTwqIJ",9,https://twitter.com/vera_daniel1/status/1775745797977526543,NEU,"{'NEG': 0.22767390310764313, 'NEU': 0.4889208674430847, 'POS': 0.28340524435043335}"
"Apr 3, 2024 @ 18:11:01.000","@alvaro_delgado @AlexMonroy4e @STaboadaMx @JorgeRoHe @XochitlGalvez ¡Suscribo! En su momento salió el reportaje de las supuestas ""novatadas"" que realizaban a l@s jóvenes aspirantes a la afiliación del aberrante @AccionNacional; por ende, es entendible que much@s panistas como Taboada,Tabe, J. Romero, Doring, Mariana G. y Kenia sean tan ruines.",9,https://twitter.com/EstoyAqu4/status/1775677419250217021,NEG,"{'NEG': 0.9667120575904846, 'NEU': 0.029175886884331703, 'POS': 0.004112032242119312}"
"Apr 3, 2024 @ 14:18:55.000","Varios liderazgos del #PAN en #Coyoacán han decidido abandonar la campaña de Santiago RaTaboada para sumarse al proyecto de Clara Brugada.

#tiempodecanallas

➡️ https://t.co/vFKFzgOh3T https://t.co/Dbk1yWcaWT",9,https://twitter.com/TCanallas_mx/status/1775619009469350184,NEG,"{'NEG': 0.6978001594543457, 'NEU': 0.28541821241378784, 'POS': 0.01678171195089817}"
"Apr 3, 2024 @ 14:16:17.000","La gente se solidariza.
Ya harta y cansada de cómo está viviendo quieren un cambio.
Todos nos dicen que nos brindarán su apoyo este 2 de Junio.
Vota PRI
VOTA EFREN SANCHEZ
#YaSeVan 
#ElCambioViene 
#Iztapalapa
#TodosconEfrenSanchez 
@KarenQuirogaAn @STaboadaMx @XochitlGalvez https://t.co/bzo6cGJmHg",9,https://twitter.com/esanchezXXXI/status/1775618345598951731,NEG,"{'NEG': 0.8471208810806274, 'NEU': 0.13583502173423767, 'POS': 0.017044076696038246}"
"Apr 3, 2024 @ 19:15:57.000","El próximo miércoles 🗓 10 de abril, más de 500 empresarios de #CoparmexCDMX participaremos en un encuentro con los candidatos a la Jefatura de Gobierno de la Ciudad de México: @ClaraBrugadaM, @Chertorivski y @STaboadaMx, donde dialogaremos sobre sus propuestas y proyectos para… https://t.co/2JePwVAEbQ",8,https://twitter.com/Armando_ZunigaS/status/1775693757918150726,NEU,"{'NEG': 0.1268811821937561, 'NEU': 0.6267791390419006, 'POS': 0.24633972346782684}"
"Apr 3, 2024 @ 18:00:33.000",“Se blindará y combatirá la corrupción en la alcaldía #Cuauhtémoc”: Santiago Taboada https://t.co/ALw3HGlmLh #ElCambioViene 🙌🔵🟡🔴 https://t.co/Zr8ghyKa7F,8,https://twitter.com/elimarinr/status/1775674783335600560,NEU,"{'NEG': 0.3277554512023926, 'NEU': 0.5680757164955139, 'POS': 0.10416879504919052}"
"Apr 3, 2024 @ 12:34:34.000","📽️Hay obras y obras, y luego, obras maestras que salen de la implicación, talento y predisposición para conseguir este resultado. Bravo por toda esa gente y enhorabuena @TtaboadaRober
#IKEA #ABBA #Waterloo
#50WATERLOO #ASTURIAS #ABBA
https://t.co/IHJW7le6gI",8,https://twitter.com/Radio_Sporting/status/1775592745383440706,POS,"{'NEG': 0.03410204127430916, 'NEU': 0.17262740433216095, 'POS': 0.7932705879211426}"
"Apr 3, 2024 @ 21:51:53.000","#EnVivo| El Presidente @AAtaydeR habló de la propuesta en materia de seguridad @STaboadaM, que es “exportar para toda la Ciudad de México el programa exitoso que implementó en Benito Juárez, #BlindarBJ”. Vía: @Capital_21. #ElCambioViene #SíHayDeOtra https://t.co/DqNvRjKv65",7,https://twitter.com/PAN_CDMX/status/1775733000950394922,NEU,"{'NEG': 0.15994080901145935, 'NEU': 0.4690014719963074, 'POS': 0.37105774879455566}"
"Apr 3, 2024 @ 20:33:15.000",@dr_espiral @eferial19 @SacmexCDMX @STaboadaMx @martibatres @BJAlcaldia @En_laDelValle En eje 6 y Av Coyoacán,7,https://twitter.com/soyloshe_/status/1775713212924616925,NEG,"{'NEG': 0.5292032361030579, 'NEU': 0.40938517451286316, 'POS': 0.061411574482917786}"
"Apr 3, 2024 @ 18:56:29.000","¡Anuncio importante! Santiago Taboada Cortina, candidato de la alianza PAN, PRI y PRD a la Jefatura de Gobierno de la Ciudad de México: https://t.co/xEN2199vOL  
#FeminicidiosEnCDMX #SeguridadParaMujeres #Elecciones2024 @STaboadaMx https://t.co/wlXZv7lGfp",7,https://twitter.com/UniversoCdmx/status/1775688861085237443,NEG,"{'NEG': 0.5749201774597168, 'NEU': 0.34669384360313416, 'POS': 0.07838600128889084}"
"Apr 3, 2024 @ 13:52:00.000","@SacmexCDMX @CarmenHelguera @BJAlcaldia @lopezdoriga @CiroGomezL @CarlosLoret @AristeguiOnline ¿Nos pueden dar una respuesta? Se ha levantado el folio 20240402_0426 y varios hemos marcado ya al 800 050 0225 y no nos indican cuándo vendrán a tomar pruebas. 

@GobCDMX @BJAlcaldia @conagua_mx @SEMARNAT_mx @ClaraBrugadaM @STaboadaMx",7,https://twitter.com/marcavalli/status/1775612232040116507,NEG,"{'NEG': 0.8022003173828125, 'NEU': 0.1854504644870758, 'POS': 0.012349211610853672}"
"Apr 3, 2024 @ 06:52:54.000","La opinión de @martinespinosa ✍️ @Excelsior 

° @STaboadaMx , visitó terrenos en los que se creía que solamente «mandaba» #Morena, como lo fue #Iztapalapa

@Nakachi_Mx @jvgilescas @jachavez77 @Venus_PonC @El_Campos 

https://t.co/a3fQ1XCwFq a través de @EvidenciaLa https://t.co/hP3S5WdtzV",7,https://twitter.com/EvidenciaLa/status/1775506765590806586,NEG,"{'NEG': 0.6313754320144653, 'NEU': 0.33503323793411255, 'POS': 0.03359125927090645}"
"Apr 3, 2024 @ 22:49:11.000","La esperanza es canija. Hoy estuve en una reunión vecinal con Mauricio Tabe, el alcalde de Miguel Hidalgo, que busca reelección. Hablamos de retos, seguridad, inversión, y de muchas cosas de la alcaldía.

También hablamos de encuestas, de posibilidades, de Santiago Taboada, y",6,https://twitter.com/eperea/status/1775747420703408256,POS,"{'NEG': 0.01822952926158905, 'NEU': 0.2470601499080658, 'POS': 0.7347103357315063}"
"Apr 3, 2024 @ 20:10:20.000",@STaboadaMx Uy como el pan si cumplió 😂😂😂😂 https://t.co/OQTOr9WFqo,6,https://twitter.com/mayrsae/status/1775707446691991869,NEU,"{'NEG': 0.26407137513160706, 'NEU': 0.6923648715019226, 'POS': 0.04356381297111511}"
"Apr 3, 2024 @ 19:17:57.000","Un antes y el después.
¡GRACIAS por la pronta atención!
Calles limpias, vecinos felices.
@BJAlcaldia @PabloAnguloB @STaboadaMx @LuisMendozaBJ @FedeChavezMX @MdoPortalesBJ @BetanzosOficial @TaniaLariosMX @ErnestoAJ29 @Luis_GQM @manuelanorve @vecinosnapoles https://t.co/LkiQtRfZwW",6,https://twitter.com/MonsePCedeno/status/1775694261058482656,POS,"{'NEG': 0.01772981509566307, 'NEU': 0.1663839966058731, 'POS': 0.8158861994743347}"
"Apr 3, 2024 @ 16:31:26.000","SANTIAGO TABOADA CONFÍA TRIUNFO EN LA CDMX 

@STaboadaMx 
@gobcdmx

https://t.co/GpKxiRfcdR",6,https://twitter.com/Latitud_mx/status/1775652356962848851,POS,"{'NEG': 0.15655481815338135, 'NEU': 0.39880573749542236, 'POS': 0.4446394443511963}"
"Apr 3, 2024 @ 14:02:54.000","@BicireporteraDF Pues no te has informado bien, Clara dejó Iztapalapa un desastre (vivo en ella) en 10 años todo sigue pal perro, insegura, sucia, lleno de drogadictos y ambulantes por doquier, Taboada aunque no es perfecto tiene a la alcaldía más segura, es obvio que Taboada es la opción",6,https://twitter.com/jcgarzep/status/1775614977409261827,NEG,"{'NEG': 0.970267653465271, 'NEU': 0.023621700704097748, 'POS': 0.00611064163967967}"
"Apr 3, 2024 @ 11:57:55.000","#QPMX #QuehacerPolitico #InquiriendoLaNoticia 

Así la encuesta para Jefe de Gobierno de la CDMX si hoy fueran las elecciones ganaría @STaboadaMx candidato por la alianza PAN, PRI y PRD. https://t.co/2t6I7QZGcL",6,https://twitter.com/QueHacerPolitic/status/1775583522146640268,NEU,"{'NEG': 0.40643736720085144, 'NEU': 0.5382246375083923, 'POS': 0.05533801019191742}"
"Apr 3, 2024 @ 16:48:04.000","Dice el 🤡 @STaboadaMx que no hay agua en las albercas de #Iztapalapa, pues aquí la evidencia de que miente con todos los dientes 😬. Éste es el Deportivo Salvador Allende, justo en su cumpleaños No. 13 que, por cierto, fue una obra de @ClaraBrugadaM .

#LaTransformacionEsClara https://t.co/m7WoZV1xAf",5,https://twitter.com/ESMEBOMBON/status/1775656543125471292,NEG,"{'NEG': 0.893850564956665, 'NEU': 0.09473054856061935, 'POS': 0.011418879963457584}"
